User ID : 1444295947 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 886919823711711232, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 w/ @lionelbarce https://t.co/WnTcxJnGQI
User ID : 265690107 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886919452423532545, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/geqbeHxAbC
User ID : 4592026340 , Lattitute : 38.13813458, Longitute : 140.92993498, Tweet Number : 886917861733748736, Tweet Status : I'm at 仙台国際空港 - @sendai_a_s in 名取市, 宮城県 https://t.co/3E4DBqSmFV
User ID : 839613308 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 886917229622767616, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/DEfaX2p723
User ID : 1167608762 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886914366918021122, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/MqYGnqboan
User ID : 120666528 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886913818986770432, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/qkplnvTnqp
User ID : 956913193 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 886913687231094786, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/T5Ahsr6MOX
User ID : 281336680 , Lattitute : 33.54746854, Longitute : 133.67422968, Tweet Number : 886911799580348416, Tweet Status : I'm at 高知龍馬空港 in 南国市, 高知県 https://t.co/HmHzIn5Yhw
User ID : 397365248 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 886910298808078337, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/La4UY9NqSo
User ID : 239470473 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886909110104580098, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/oRoUyTuovV
User ID : 62786008 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886908423618670592, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/XY6GriMKjd
User ID : 137011868 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886907782456279040, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/LnX1ZJ9iCL
User ID : 1709511818 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886906707808591872, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/u8i1PrtdDV
User ID : 11425382 , Lattitute : 35.16996208, Longitute : 136.87833113, Tweet Number : 886906418061873153, Tweet Status : I'm at 風来坊 名駅新幹線口店 in 名古屋市, 愛知県 https://t.co/zpby5NVtj5
User ID : 86655270 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886905161716817920, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/hDMmliaNgP
User ID : 633800329 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 886903787729948672, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/WoPQ2wkvCz
User ID : 2988445567 , Lattitute : 35.77236971, Longitute : 140.38779616, Tweet Number : 886903414927622144, Tweet Status : I'm at 京成 空港第2ビル駅 - @keiseirailway in 成田市, 千葉県 https://t.co/cw5uyMcDOk
User ID : 3164730510 , Lattitute : 34.75995563, Longitute : 133.85299891, Tweet Number : 886902896494870529, Tweet Status : I'm at 岡山空港 in 岡山市, 岡山県 https://t.co/egpi4aQmra
