User ID :2271868284, Lattitute :34.706551, Longitute :135.195914, Tweet Number :8.91899E+17, Tweet Status : I'm at 新神戸駅 新幹線きっぷうりば in 神戸市,,,
User ID :118700584, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.91897E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :107042980, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91897E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :1929743694, Lattitute :38.25988806, Longitute :140.8818566, Tweet Number :8.91896E+17, Tweet Status : I'm at JR仙台駅 新幹線ホーム in 仙台市,,,
User ID :178550671, Lattitute :34.63677065, Longitute :135.2286431, Tweet Number :8.91895E+17, Tweet Status : I'm at 神戸空港 in Kobe,,,
User ID :2346862880, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91894E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :2395911859, Lattitute :36.6429678, Longitute :138.1892645, Tweet Number :8.9189E+17, Tweet Status : I'm at 北陸新幹線 長野駅 - @jreast_official in 長野市,,,
User ID :233270923, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91889E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :94795882, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91889E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :2447006953, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91887E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :187918496, Lattitute :35.17010457, Longitute :136.8813094, Tweet Number :8.91887E+17, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市,,,
User ID :2587228855, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91887E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :138554299, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91886E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :2399118164, Lattitute :35.1268163, Longitute :138.9095669, Tweet Number :8.91885E+17, Tweet Status : I'm at JR三島駅 新幹線ホーム in 三島市,,,
User ID :7.81099E+17, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91883E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :103263595, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.9188E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :955650895, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.91879E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :1352044651, Lattitute :35.17069015, Longitute :136.8813094, Tweet Number :8.91876E+17, Tweet Status : I'm at 名代きしめん住よし 新幹線上りホーム店 in 名古屋市,,,
User ID :474682146, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91876E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :544442361, Lattitute :34.79141347, Longitute :135.4419744, Tweet Number :8.91875E+17, Tweet Status : I'm at 大阪空港駅 - @osakamonorail in 豊中市,,,
User ID :2427438265, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91874E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :7.87599E+17, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.91874E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :2835280968, Lattitute :35.6287103, Longitute :139.7401774, Tweet Number :8.91873E+17, Tweet Status : I'm at JR 品川駅 新幹線ホーム in 港区,,,
User ID :133241430, Lattitute :34.63980199, Longitute :135.2288353, Tweet Number :8.91871E+17, Tweet Status : I'm at 神戸空港 海上アクセスターミナル in 神戸市,,,
User ID :424883623, Lattitute :35.17069015, Longitute :136.8813094, Tweet Number :8.9187E+17, Tweet Status : I'm at 名代きしめん住よし 新幹線上りホーム店 in 名古屋市,,,
User ID :50877370, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91868E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :2705124733, Lattitute :38.25988806, Longitute :140.8818566, Tweet Number :8.91865E+17, Tweet Status : I'm at JR仙台駅 新幹線ホーム in 仙台市,,,
User ID :342789091, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91859E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :178672671, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91857E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :125984938, Lattitute :34.75995563, Longitute :133.8529989, Tweet Number :8.91856E+17, Tweet Status : I'm at 岡山空港 in 岡山市,,,
User ID :517697107, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91856E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :1158839461, Lattitute :35.41489189, Longitute :132.8858379, Tweet Number :8.91855E+17, Tweet Status : I'm at 出雲縁結び空港 in 出雲市,,,
User ID :121478779, Lattitute :34.86165859, Longitute :136.817823, Tweet Number :8.91854E+17, Tweet Status : I'm at NPC24h 東横INN中部国際空港パーキング in 常滑市,,,
User ID :107655719, Lattitute :38.81721394, Longitute :139.7894533, Tweet Number :8.91854E+17, Tweet Status : I'm at 庄内空港緩衝緑地公園 in 酒田市,,,
User ID :8.02516E+17, Lattitute :38.13725698, Longitute :140.92942, Tweet Number :8.91851E+17, Tweet Status : I'm at 仙台空港駅 in 名取市,,,
User ID :401981317, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91848E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :3148806241, Lattitute :35.17010457, Longitute :136.8813094, Tweet Number :8.91847E+17, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市,,,
User ID :462060663, Lattitute :35.17010457, Longitute :136.8813094, Tweet Number :8.91847E+17, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市,,,
User ID :323260484, Lattitute :34.63653032, Longitute :135.2282175, Tweet Number :8.91846E+17, Tweet Status : I'm at 神戸空港 6番搭乗口 in 神戸市,,,
User ID :2923803451, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91845E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :222065345, Lattitute :34.69286617, Longitute :135.1935897, Tweet Number :8.91845E+17, Tweet Status : I'm at 神戸三宮 空港リムジンバスのりば (S1) in 神戸市,,,
User ID :103032539, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91844E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :3272860272, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91844E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :396209573, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91842E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :1156740402, Lattitute :34.88820633, Longitute :136.8258869, Tweet Number :8.91842E+17, Tweet Status : I'm at コストコ 中部空港倉庫店 in 常滑市,,,
User ID :1095399354, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.9184E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :2263914536, Lattitute :39.70138721, Longitute :141.136948, Tweet Number :8.91837E+17, Tweet Status : I'm at JR盛岡駅 新幹線ホーム - @jreast_official in 盛岡市,,,
