User ID : 271945805 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 895242798445756417, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/1SPCYwnm1J
User ID : 786432210467299328 , Lattitute : 35.68136688, Longitute : 139.76761153, Tweet Number : 895240945184190464, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/WX6gVqjF2P
User ID : 101234068 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 895237763599134721, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/Z7Z49lokSr
User ID : 300720947 , Lattitute : 38.13813458, Longitute : 140.92993498, Tweet Number : 895237472820621312, Tweet Status : I'm at 仙台国際空港 in 名取市, 宮城県 https://t.co/DAIkHKBQo5
User ID : 1636821162 , Lattitute : 35.1268163, Longitute : 138.90956686, Tweet Number : 895237449231806466, Tweet Status : I'm at JR三島駅 新幹線ホーム in 三島市, 静岡県 https://t.co/qQGWiEupNA
User ID : 64660454 , Lattitute : 35.68136688, Longitute : 139.76761153, Tweet Number : 895236793305632768, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/NXlIWhcWzO https://t.co/IIxB6dhmXd
User ID : 113625013 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895236278844887040, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/ORfXLDG7vE
User ID : 6855912 , Lattitute : 34.85944729, Longitute : 136.81485788, Tweet Number : 895233988050251780, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/tyFk62p8nJ
User ID : 398409953 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895233185990275072, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/u1cSJH5oI9
User ID : 49009062 , Lattitute : 34.79184523, Longitute : 135.4402049, Tweet Number : 895229902072557568, Tweet Status : I'm at ピザーラ エクスプレス 大阪空港店 in 豊中市, 大阪府 https://t.co/AoH6TRoUBe https://t.co/OiGrahl7xe
User ID : 262106099 , Lattitute : 35.77266623, Longitute : 140.38762734, Tweet Number : 895229177233907713, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/aq5bsNSH73
User ID : 49009062 , Lattitute : 34.79141347, Longitute : 135.4419744, Tweet Number : 895228370413289473, Tweet Status : I'm at 大阪空港駅 - @osakamonorail in 豊中市, 大阪府 https://t.co/kWopK6h55E
User ID : 392591831 , Lattitute : 35.77266623, Longitute : 140.38762734, Tweet Number : 895227162927693828, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/YuGSzeJoEY
User ID : 153301192 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895226641349316608, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/cwpHfNHeBF
User ID : 582710885 , Lattitute : 35.77266623, Longitute : 140.38762734, Tweet Number : 895226350654676992, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/G5ZZn3iI6K
User ID : 517322998 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895225633890078720, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/QaFl6pA7sX
User ID : 4378567214 , Lattitute : 34.85944729, Longitute : 136.81485788, Tweet Number : 895222787887046656, Tweet Status : I'm at 中部国際空港 セントレア in 常滑市, 愛知県 https://t.co/pxnVzp5zln
User ID : 4378567214 , Lattitute : 34.8600223, Longitute : 136.81606376, Tweet Number : 895220968792223744, Tweet Status : I'm at 中部国際空港駅 in Tokoname, Aichi https://t.co/NODcF5oJLq
User ID : 520435611 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895218743386755072, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/usWShbwWsM
User ID : 107966161 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895218117697314816, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/paf7IkG77N
User ID : 333961398 , Lattitute : 34.63677065, Longitute : 135.22864308, Tweet Number : 895215242829025280, Tweet Status : I'm at 神戸空港 in Kobe, 兵庫県 https://t.co/RDgiD8wQCn
User ID : 811102808174796800 , Lattitute : 35.77440639, Longitute : 140.38834854, Tweet Number : 895213193643118592, Tweet Status : I'm at 天亭 成田国際空港第2ターミナル店 in 成田市, 千葉県 https://t.co/V7jgEaPaVZ
User ID : 305547192 , Lattitute : 34.48926319, Longitute : 133.36147498, Tweet Number : 895211641989713920, Tweet Status : I'm at 福山駅新幹線ホーム in 福山市, Hiroshima https://t.co/9YU0JxUdhn
User ID : 62992251 , Lattitute : 34.43580571, Longitute : 135.24369478, Tweet Number : 895209767215542272, Tweet Status : I'm at 南海 関西空港駅 in 泉佐野市, 大阪府 https://t.co/1PDiIutCyn
User ID : 811102808174796800 , Lattitute : 35.77266623, Longitute : 140.38762734, Tweet Number : 895209552731414528, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/HU7v5qEeKK
User ID : 70045320 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895207512542257154, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/hfEIkEAkJs
User ID : 70045320 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895207512542257154, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/hfEIkEAkJs
User ID : 284499824 , Lattitute : 38.1383931, Longitute : 140.93048964, Tweet Number : 895207462063792128, Tweet Status : I'm at 仙台空港 ビジネスラウンジ EAST SIDE in 名取市, 宮城県 https://t.co/zBVRVd7UP4
User ID : 329770800 , Lattitute : 35.31454791, Longitute : 136.28954392, Tweet Number : 895205016323207168, Tweet Status : I'm at 新幹線 米原駅 11番線ホーム in 米原市, 滋賀県 https://t.co/LCZKU7sHla
User ID : 597371508 , Lattitute : 35.68136688, Longitute : 139.76761153, Tweet Number : 895202071724646400, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/KY9jbX9akV
User ID : 2390416952 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 895201722137792512, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/A7kGvzDSUG
