User ID : 4254421 , Lattitute : 34.15891792, Longitute : 132.23461309, Tweet Number : 872369047031209985, User Location : チッバ, Tweet Status : I'm at 岩国錦帯橋空港 / 岩国飛行場 in 岩国市, 山口県 https://t.co/IcWRuybdsX
User ID : 533224002 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872368276579512325, User Location : 埼玉県加須市(TI05), Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/KCw0p0kYDs
User ID : 91545656 , Lattitute : 40.19569569, Longitute : 140.37229749, Tweet Number : 872367791457882113, User Location : 大阪日本橋・恵美須町や横浜金沢文庫だけど居ないことが多いとか, Tweet Status : I'm at 大館能代空港 in 北秋田市, 秋田県 https://t.co/An8Fuwl2YZ
User ID : 308305541 , Lattitute : 35.77236971, Longitute : 140.38779616, Tweet Number : 872367759539286016, User Location : in トーキョー, Tweet Status : I'm at 京成 空港第2ビル駅 - @keiseirailway in 成田市, 千葉県 https://t.co/ocQ1tsvxn2
User ID : 330292303 , Lattitute : 34.39849582, Longitute : 132.47497277, Tweet Number : 872362691473571843, User Location : , Tweet Status : I'm at JR 広島駅 新幹線ホーム in 広島市, 広島県 https://t.co/oKkMYTL1UI
User ID : 1027902174 , Lattitute : 35.68093543, Longitute : 139.7676964, Tweet Number : 872361394343202816, User Location : うなぎパイの産地, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/xP9oHMQ4al
User ID : 231992693 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872358328608980992, User Location : Yamaguchi Big City, Japan, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/WyTxiK2OZ9
User ID : 73887552 , Lattitute : 35.77284377, Longitute : 140.38731466, Tweet Number : 872355289437274112, User Location : NUA Litelary Art dept. 4th, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/MeAfWw7Cnl
User ID : 59356388 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872350344818413568, User Location : 神奈川県川崎市, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/KZx7R8Ogue
User ID : 1734754238 , Lattitute : 35.77353396, Longitute : 140.38836211, Tweet Number : 872346289429676032, User Location : 茨城県, Tweet Status : I'm at 空港第2ビル駅 in 成田市, 千葉県 https://t.co/RRpd92kque
User ID : 89194338 , Lattitute : 25.08096012, Longitute : 121.23681205, Tweet Number : 872345491975151618, User Location : ナカムランド, Tweet Status : I'm at 台湾桃園国際空港 in 桃園縣, 臺灣 https://t.co/0EwY2mglPm
User ID : 2205054823 , Lattitute : 34.424442, Longitute : 135.2296, Tweet Number : 872343103537074177, User Location : , Tweet Status : I'm at 関西空港国際貨物エプロン/ANACargo https://t.co/qn6q6HOCSz
User ID : 14242193 , Lattitute : 35.68093543, Longitute : 139.7676964, Tweet Number : 872340845206392834, User Location : 岐阜県 多治見市, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/UZ6lr7tMo9
User ID : 2288399941 , Lattitute : 34.21866022, Longitute : 134.0187943, Tweet Number : 872340399343403008, User Location : Yokohama or 倫敦, Tweet Status : I'm at 高松空港 - @tak_oficial_fb in 高松市, 香川県 https://t.co/3C45aVYVe2
User ID : 206511053 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872338012428009472, User Location : 福岡, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/tvz3UmrsaR
